"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"family";"genus";"specificEpithet";"taxonRank"
64;"Eucalyptus nitens";"Eucalyptus nitens";;"Eucalyptus nitens";"Maiden";"Myrtaceae";"Eucalyptus";"nitens";"species"
464;"Eucalyptus robusta";"Eucalyptus robusta";"Sm.";"Eucalyptus robusta";"Sm.";"Myrtaceae";"Eucalyptus";"robusta";"species"
264;"Eucalyptus viminalis";"Eucalyptus viminalis";"Labill.";"Eucalyptus viminalis";"Labill.";"Myrtaceae";"Eucalyptus";"viminalis";"species"
5;"Euonymus europaeus";"Euonymus europaeus";"L.";"Euonymus europaeus";"L.";"Celastraceae";"Euonymus";"europaeus";"species"
500;"Euonymus europaeus";"Euonymus europaeus";"L.";"Euonymus europaeus";"L.";"Celastraceae";"Euonymus";"europaeus";"species"
3162;"Euphorbia aphylla";"Euphorbia aphylla";"Brouss. ex Willd.";"Euphorbia aphylla";"Brouss.";"Euphorbiaceae";"Euphorbia";"aphylla";"species"
1162;"Euphorbia canariensis";"Euphorbia canariensis";"L.";"Euphorbia canariensis";"L.";"Euphorbiaceae";"Euphorbia";"canariensis";"species"
2162;"Euphorbia handiensis";"Euphorbia handiensis";"Burchard";"Euphorbia handiensis";"Burchard";"Euphorbiaceae";"Euphorbia";"handiensis";"species"
162;"Euphorbia spp.";"Euphorbia";;"Euphorbia";"L.";"Euphorbiaceae";"Euphorbia";;"genus"
71;"Fagus sylvatica";"Fagus sylvatica";"L.";"Fagus sylvatica";"L.";"Fagaceae";"Fagus";"sylvatica";"species"
299;"Ficus carica";"Ficus carica";"L.";"Ficus carica";"L.";"Moraceae";"Ficus";"carica";"species"
181;"Flueggea tinctoria";"Flueggea tinctoria";"(L.) G.L.Webster";"Flueggea tinctoria";"(L.) G.L.Webster";"Phyllanthaceae";"Flueggea";"tinctoria";"species"
3;"Frangula alnus";"Frangula alnus";"Mill.";"Frangula alnus";"Mill.";"Rhamnaceae";"Frangula";"alnus";"species"
300;"Frangula alnus";"Frangula alnus";"Mill.";"Frangula alnus";"Mill.";"Rhamnaceae";"Frangula";"alnus";"species"
55;"Fraxinus angustifolia";"Fraxinus angustifolia";"Vahl";"Fraxinus angustifolia";"Vahl";"Oleaceae";"Fraxinus";"angustifolia";"species"
255;"Fraxinus excelsior";"Fraxinus excelsior";"L.";"Fraxinus excelsior";"L.";"Oleaceae";"Fraxinus";"excelsior";"species"
355;"Fraxinus ornus";"Fraxinus ornus";"L.";"Fraxinus ornus";"L.";"Oleaceae";"Fraxinus";"ornus";"species"
455;"Fraxinus spp.";"Fraxinus";;"Fraxinus";"L.";"Oleaceae";"Fraxinus";;"genus"
955;"Fraxinus spp.";"Fraxinus";;"Fraxinus";"L.";"Oleaceae";"Fraxinus";;"genus"
1255;"Genista anglica";"Genista anglica";"L.";"Genista anglica";"L.";"Fabaceae";"Genista";"anglica";"species"
6155;"Genista baetica";"Genista baetica";;"Genista versicolor  subsp. versicolor";"Boiss.";"Fabaceae";"Genista";"versicolor";"subspecies"
5155;"Genista balansae";"Genista balansae";;"Genista balansae";"(Boiss.) Rouy";"Fabaceae";"Genista";"balansae";"species"
1355;"Genista cinerascens";"Genista cinerascens";"Lange";"Genista cinerascens";"Lange";"Fabaceae";"Genista";"cinerascens";"species"
8155;"Genista cinerea";"Genista cinerea";"(Vill.) DC. in Lam. & DC.";"Genista cinerea";"(Vill.) DC.";"Fabaceae";"Genista";"cinerea";"species"
9075;"Genista dorycnifolia";"Genista dorycnifolia";"Font Quer";"Genista dorycnifolia";"Font Quer";"Fabaceae";"Genista";"dorycnifolia";"species"
1455;"Genista falcata";"Genista falcata";"Brot.";"Genista falcata";"Brot.";"Fabaceae";"Genista";"falcata";"species"
1555;"Genista florida";"Genista florida";"L.";"Genista florida";"L.";"Fabaceae";"Genista";"florida";"species"
1156;"Genista hirsuta";"Genista hirsuta";"Vahl";"Genista hirsuta";"Vahl";"Fabaceae";"Genista";"hirsuta";"species"
10155;"Genista hirsuta";"Genista hirsuta";"Vahl";"Genista hirsuta";"Vahl";"Fabaceae";"Genista";"hirsuta";"species"
1655;"Genista hispanica";"Genista hispanica";"L.";"Genista hispanica";"L.";"Fabaceae";"Genista";"hispanica";"species"
1755;"Genista hystrix";"Genista hystrix";"Lange";"Genista hystrix";"Lange";"Fabaceae";"Genista";"hystrix";"species"
9155;"Genista linifolia";"Genista linifolia";;"Genista linifolia";"L.";"Fabaceae";"Genista";"linifolia";"species"
1155;"Genista monspessulana";"Genista monspessulana";;"Genista monspessulana";"(L.) L.A.S.Johnson";"Fabaceae";"Genista";"monspessulana";"species"
2155;"Genista patens";"Genista patens";;"Genista patens";"DC.";"Fabaceae";"Genista";"patens";"species"
3155;"Genista scorpius";"Genista scorpius";"(L.) DC. in Lam. & DC.";"Genista scorpius";"(L.) DC.";"Fabaceae";"Genista";"scorpius";"species"
155;"Genista spp.";"Genista";;"Genista";"L.";"Fabaceae";"Genista";;"genus"
2156;"Genista triacanthos";"Genista triacanthos";"Brot.";"Genista triacanthos";"Brot.";"Fabaceae";"Genista";"triacanthos";"species"
11155;"Genista triacanthos";"Genista triacanthos";"Brot.";"Genista triacanthos";"Brot.";"Fabaceae";"Genista";"triacanthos";"species"
12155;"Genista tridens";"Genista tridens";"(Cav.) DC.";"Genista tridens";"(Cav.) DC.";"Fabaceae";"Genista";"tridens";"species"
13155;"Genista tridentata";"Genista tridentata";;"Genista tridentata";"L.";"Fabaceae";"Genista";"tridentata";"species"
4155;"Genista triflora";"Genista triflora";;"Chamaecytisus triflorus";"(Lam.) Skalická";"Fabaceae";"Chamaecytisus";"triflorus";"species"
7155;"Genista umbellata";"Genista umbellata";"(L´Hér.) Dum. Cours.";"Genista umbellata";"(L'Hér.) Poir.";"Fabaceae";"Genista";"umbellata";"species"
14155;"Genista versicolor";"Genista versicolor";"Boiss.";"Genista versicolor";"Boiss.";"Fabaceae";"Genista";"versicolor";"species"
9104;"Genistella spp.";"Genistella";;"Genista";"L.";"Fabaceae";"Genista";;"genus"
392;"Gleditsia triacanthos";"Gleditsia triacanthos";"L.";"Gleditsia triacanthos";"L.";"Fabaceae";"Gleditsia";"triacanthos";"species"
